frame_number,character_name,notes
395,Prof. Severus Snape,nan
471,Prof. Severus Snape,nan
707,Prof. Severus Snape,nan
1116,Harry Potter,nan
1174,Hermione Granger,nan
1336,Hermione Granger,nan
1571,Ron Weasley,nan
2335,Ron Weasley,nan
2760,Ron Weasley,nan
1138,Hermione Granger,nan
2849,Harry Potter,nan
2922,Prof. McGonagall,nan
2937,Prof. McGonagall,nan
2966,Prof. McGonagall,nan
1526,Harry Potter,side_profile
2981,Harry Potter,
712,Prof. Severus Snape,
932,Hermione Granger,
2342,Ron Weasley,
2915,Prof. McGonagall,
